|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|      72 |          72 |       00:00:18 |       93.32% |              |       0.2673 |              |          0.0500 |
|      73 |          73 |       00:00:18 |       91.48% |              |       0.2728 |              |          0.0500 |
|      74 |          74 |       00:00:18 |       92.76% |              |       0.2629 |              |          0.0500 |
|      75 |          75 |       00:00:18 |       93.32% |              |       0.2501 |              |          0.0500 |
|      76 |          76 |       00:00:19 |       93.47% |              |       0.2405 |              |          0.0500 |
|      77 |          77 |       00:00:19 |       92.76% |              |       0.2450 |              |          0.0500 |
|      78 |          78 |       00:00:19 |       93.75% |              |       0.2375 |              |          0.0500 |
|      79 |          79 |       00:00:19 |       92.90% |              |       0.2439 |              |          0.0500 |
|      80 |          80 |       00:00:20 |       93.75% |       92.61% |       0.2276 |       0.2758 |          0.0500 |
|      81 |          81 |       00:00:20 |       94.46% |              |       0.2292 |              |          0.0500 |
|      82 |          82 |       00:00:20 |       94.32% |              |       0.2285 |              |          0.0500 |
|      83 |          83 |       00:00:20 |       94.89% |              |       0.2156 |              |          0.0500 |
|      84 |          84 |       00:00:21 |       94.18% |              |       0.2248 |              |          0.0500 |
|      85 |          85 |       00:00:21 |       94.18% |              |       0.2144 |              |          0.0500 |
|      86 |          86 |       00:00:21 |       95.45% |              |       0.2048 |              |          0.0500 |
|      87 |          87 |       00:00:21 |       94.60% |              |       0.2145 |              |          0.0500 |
|      88 |          88 |       00:00:22 |       93.61% |              |       0.2036 |              |          0.0500 |
|      89 |          89 |       00:00:22 |       95.17% |              |       0.2045 |              |          0.0500 |
|      90 |          90 |       00:00:22 |       94.18% |       92.61% |       0.2172 |       0.2701 |          0.0500 |
|      91 |          91 |       00:00:22 |       95.03% |              |       0.1931 |              |          0.0500 |
|      92 |          92 |       00:00:23 |       93.75% |              |       0.2099 |              |          0.0500 |
|      93 |          93 |       00:00:23 |       94.03% |              |       0.2010 |              |          0.0500 |
|      94 |          94 |       00:00:23 |       96.02% |              |       0.1829 |              |          0.0500 |
|      95 |          95 |       00:00:23 |       95.17% |              |       0.1843 |              |          0.0500 |
|      96 |          96 |       00:00:24 |       96.16% |              |       0.1756 |              |          0.0500 |
|      97 |          97 |       00:00:24 |       95.17% |              |       0.1822 |              |          0.0500 |
|      98 |          98 |       00:00:24 |       95.31% |              |       0.1791 |              |          0.0500 |
|      99 |          99 |       00:00:24 |       95.60% |              |       0.1847 |              |          0.0500 |
|     100 |         100 |       00:00:24 |       96.59% |       93.18% |       0.1622 |       0.2400 |          0.0500 |
|     101 |         101 |       00:00:25 |       95.74% |              |       0.1728 |              |          0.0500 |
|     102 |         102 |       00:00:25 |       95.60% |              |       0.1774 |              |          0.0500 |
|     103 |         103 |       00:00:25 |       94.74% |              |       0.1905 |              |          0.0500 |
|     104 |         104 |       00:00:25 |       96.02% |              |       0.1673 |              |          0.0500 |
|     105 |         105 |       00:00:26 |       95.74% |              |       0.1745 |              |          0.0500 |
|     106 |         106 |       00:00:26 |       95.60% |              |       0.1711 |              |          0.0500 |
|     107 |         107 |       00:00:26 |       95.74% |              |       0.1728 |              |          0.0500 |
|     108 |         108 |       00:00:27 |       95.17% |              |       0.1864 |              |          0.0500 |
|     109 |         109 |       00:00:27 |       95.31% |              |       0.1803 |              |          0.0500 |
|     110 |         110 |       00:00:27 |       95.74% |       92.61% |       0.1716 |       0.2427 |          0.0500 |
|     111 |         111 |       00:00:27 |       95.60% |              |       0.1628 |              |          0.0500 |
|     112 |         112 |       00:00:28 |       95.60% |              |       0.1650 |              |          0.0500 |
|     113 |         113 |       00:00:28 |       96.16% |              |       0.1554 |              |          0.0500 |
|     114 |         114 |       00:00:28 |       96.16% |              |       0.1604 |              |          0.0500 |
|     115 |         115 |       00:00:28 |       95.45% |              |       0.1603 |              |          0.0500 |
|     116 |         116 |       00:00:28 |       96.31% |              |       0.1577 |              |          0.0500 |
|     117 |         117 |       00:00:29 |       96.59% |              |       0.1431 |              |          0.0500 |
|     118 |         118 |       00:00:29 |       95.88% |              |       0.1589 |              |          0.0500 |
|     119 |         119 |       00:00:29 |       95.74% |              |       0.1422 |              |          0.0500 |
|     120 |         120 |       00:00:29 |       95.88% |       92.61% |       0.1571 |       0.2464 |          0.0500 |
|     121 |         121 |       00:00:30 |       96.45% |              |       0.1486 |              |          0.0500 |
|     122 |         122 |       00:00:30 |       94.74% |              |       0.1512 |              |          0.0500 |
|     123 |         123 |       00:00:30 |       95.60% |              |       0.1483 |              |          0.0500 |
|     124 |         124 |       00:00:30 |       96.16% |              |       0.1550 |              |          0.0500 |
|     125 |         125 |       00:00:31 |       96.73% |              |       0.1423 |              |          0.0500 |
|     126 |         126 |       00:00:31 |       96.31% |              |       0.1330 |              |          0.0500 |
|     127 |         127 |       00:00:31 |       96.16% |              |       0.1510 |              |          0.0500 |
|     128 |         128 |       00:00:31 |       96.02% |              |       0.1448 |              |          0.0500 |
|     129 |         129 |       00:00:32 |       94.89% |              |       0.1607 |              |          0.0500 |
|     130 |         130 |       00:00:32 |       96.02% |       93.18% |       0.1425 |       0.2111 |          0.0500 |
|     131 |         131 |       00:00:32 |       96.88% |              |       0.1349 |              |          0.0500 |
|     132 |         132 |       00:00:32 |       97.02% |              |       0.1283 |              |          0.0500 |
|     133 |         133 |       00:00:33 |       97.16% |              |       0.1272 |              |          0.0500 |
|     134 |         134 |       00:00:33 |       97.02% |              |       0.1307 |              |          0.0500 |
|     135 |         135 |       00:00:33 |       96.73% |              |       0.1340 |              |          0.0500 |
|     136 |         136 |       00:00:33 |       97.02% |              |       0.1208 |              |          0.0500 |
|     137 |         137 |       00:00:34 |       96.88% |              |       0.1227 |              |          0.0500 |
|     138 |         138 |       00:00:34 |       97.30% |              |       0.1196 |              |          0.0500 |
|     139 |         139 |       00:00:34 |       97.16% |              |       0.1297 |              |          0.0500 |
|     140 |         140 |       00:00:34 |       97.59% |       93.75% |       0.1236 |       0.2172 |          0.0500 |
|     141 |         141 |       00:00:35 |       96.31% |              |       0.1356 |              |          0.0500 |
|     142 |         142 |       00:00:35 |       97.30% |              |       0.1101 |              |          0.0500 |
|     143 |         143 |       00:00:35 |       97.16% |              |       0.1198 |              |          0.0500 |
|     144 |         144 |       00:00:35 |       96.45% |              |       0.1310 |              |          0.0500 |
|     145 |         145 |       00:00:36 |       97.73% |              |       0.1164 |              |          0.0500 |
|     146 |         146 |       00:00:36 |       96.88% |              |       0.1234 |              |          0.0500 |
|     147 |         147 |       00:00:36 |       96.45% |              |       0.1358 |              |          0.0500 |
|     148 |         148 |       00:00:36 |       97.16% |              |       0.1124 |              |          0.0500 |
|     149 |         149 |       00:00:37 |       96.88% |              |       0.1140 |              |          0.0500 |
|     150 |         150 |       00:00:37 |       97.44% |       94.32% |       0.1083 |       0.1967 |          0.0500 |
|     151 |         151 |       00:00:37 |       97.44% |              |       0.1164 |              |          0.0500 |
|     152 |         152 |       00:00:37 |       96.88% |              |       0.1303 |              |          0.0500 |
|     153 |         153 |       00:00:38 |       97.59% |              |       0.1131 |              |          0.0500 |
|     154 |         154 |       00:00:38 |       98.01% |              |       0.1082 |              |          0.0500 |
|     155 |         155 |       00:00:38 |       96.73% |              |       0.1153 |              |          0.0500 |
|     156 |         156 |       00:00:38 |       98.15% |              |       0.1025 |              |          0.0500 |
|     157 |         157 |       00:00:39 |       97.73% |              |       0.1104 |              |          0.0500 |
|     158 |         158 |       00:00:39 |       97.73% |              |       0.1130 |              |          0.0500 |
|     159 |         159 |       00:00:39 |       96.45% |              |       0.1128 |              |          0.0500 |
|     160 |         160 |       00:00:39 |       97.30% |       95.45% |       0.1199 |       0.1751 |          0.0500 |
|     161 |         161 |       00:00:40 |       97.44% |              |       0.1058 |              |          0.0500 |
|     162 |         162 |       00:00:40 |       97.16% |              |       0.1089 |              |          0.0500 |
|     163 |         163 |       00:00:40 |       97.59% |              |       0.1091 |              |          0.0500 |
|     164 |         164 |       00:00:40 |       97.02% |              |       0.1185 |              |          0.0500 |
