|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |           1 |       00:00:00 |        0.43% |        7.95% |       3.1109 |       3.0617 |          0.0100 |
|       2 |           2 |       00:00:01 |        5.82% |              |       3.0580 |              |          0.0100 |
|       3 |           3 |       00:00:01 |        9.23% |              |       2.9919 |              |          0.0100 |
|       4 |           4 |       00:00:01 |       11.36% |              |       2.9216 |              |          0.0100 |
|       5 |           5 |       00:00:02 |       14.77% |              |       2.8720 |              |          0.0100 |
|       6 |           6 |       00:00:02 |       17.47% |              |       2.8173 |              |          0.0100 |
|       7 |           7 |       00:00:02 |       19.60% |              |       2.7535 |              |          0.0100 |
|       8 |           8 |       00:00:03 |       21.02% |              |       2.7006 |              |          0.0100 |
|       9 |           9 |       00:00:03 |       25.85% |              |       2.6237 |              |          0.0100 |
|      10 |          10 |       00:00:03 |       26.28% |       30.11% |       2.5596 |       2.4834 |          0.0100 |
|      11 |          11 |       00:00:03 |       25.43% |              |       2.5000 |              |          0.0100 |
|      12 |          12 |       00:00:04 |       30.11% |              |       2.5485 |              |          0.0100 |
|      13 |          13 |       00:00:04 |       22.44% |              |       2.4938 |              |          0.0100 |
|      14 |          14 |       00:00:04 |       28.41% |              |       2.3898 |              |          0.0100 |
|      15 |          15 |       00:00:05 |       35.51% |              |       2.3127 |              |          0.0100 |
|      16 |          16 |       00:00:05 |       36.79% |              |       2.2492 |              |          0.0100 |
|      17 |          17 |       00:00:05 |       39.06% |              |       2.1930 |              |          0.0100 |
|      18 |          18 |       00:00:06 |       42.19% |              |       2.1366 |              |          0.0100 |
|      19 |          19 |       00:00:06 |       47.02% |              |       2.0767 |              |          0.0100 |
|      20 |          20 |       00:00:06 |       49.29% |       51.14% |       2.0306 |       1.9413 |          0.0100 |
|      21 |          21 |       00:00:07 |       50.85% |              |       1.9749 |              |          0.0100 |
|      22 |          22 |       00:00:07 |       56.39% |              |       1.9173 |              |          0.0100 |
|      23 |          23 |       00:00:07 |       58.10% |              |       1.8704 |              |          0.0100 |
|      24 |          24 |       00:00:07 |       62.07% |              |       1.8078 |              |          0.0100 |
|      25 |          25 |       00:00:08 |       61.22% |              |       1.7622 |              |          0.0100 |
