|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|      72 |          72 |       00:00:37 |       94.46% |              |       0.1966 |              |          0.0020 |
|      73 |          73 |       00:00:38 |       95.03% |              |       0.1943 |              |          0.0020 |
|      74 |          74 |       00:00:38 |       95.74% |              |       0.1762 |              |          0.0020 |
|      75 |          75 |       00:00:39 |       95.88% |              |       0.1695 |              |          0.0020 |
|      76 |          76 |       00:00:39 |       95.31% |              |       0.1845 |              |          0.0020 |
|      77 |          77 |       00:00:40 |       96.31% |              |       0.1658 |              |          0.0020 |
|      78 |          78 |       00:00:40 |       95.74% |              |       0.1638 |              |          0.0020 |
|      79 |          79 |       00:00:41 |       96.16% |              |       0.1613 |              |          0.0020 |
|      80 |          80 |       00:00:41 |       95.88% |       93.18% |       0.1634 |       0.2683 |          0.0020 |
|      81 |          81 |       00:00:42 |       96.45% |              |       0.1591 |              |          0.0020 |
|      82 |          82 |       00:00:42 |       96.31% |              |       0.1451 |              |          0.0020 |
|      83 |          83 |       00:00:43 |       96.73% |              |       0.1461 |              |          0.0020 |
|      84 |          84 |       00:00:43 |       95.88% |              |       0.1550 |              |          0.0020 |
|      85 |          85 |       00:00:44 |       96.45% |              |       0.1522 |              |          0.0020 |
|      86 |          86 |       00:00:44 |       97.30% |              |       0.1265 |              |          0.0020 |
|      87 |          87 |       00:00:45 |       95.60% |              |       0.1471 |              |          0.0020 |
|      88 |          88 |       00:00:45 |       96.16% |              |       0.1446 |              |          0.0020 |
|      89 |          89 |       00:00:46 |       96.45% |              |       0.1327 |              |          0.0020 |
|      90 |          90 |       00:00:46 |       95.74% |       94.32% |       0.1465 |       0.2719 |          0.0020 |
|      91 |          91 |       00:00:47 |       97.02% |              |       0.1284 |              |          0.0020 |
|      92 |          92 |       00:00:47 |       97.44% |              |       0.1133 |              |          0.0020 |
|      93 |          93 |       00:00:48 |       97.02% |              |       0.1254 |              |          0.0020 |
|      94 |          94 |       00:00:48 |       97.44% |              |       0.1223 |              |          0.0020 |
|      95 |          95 |       00:00:49 |       96.73% |              |       0.1199 |              |          0.0020 |
|      96 |          96 |       00:00:49 |       97.59% |              |       0.1237 |              |          0.0020 |
|      97 |          97 |       00:00:50 |       97.02% |              |       0.1161 |              |          0.0020 |
|      98 |          98 |       00:00:50 |       96.88% |              |       0.1185 |              |          0.0020 |
|      99 |          99 |       00:00:51 |       98.30% |              |       0.1044 |              |          0.0020 |
|     100 |         100 |       00:00:51 |       97.87% |       94.32% |       0.1185 |       0.2498 |          0.0020 |
|     101 |         101 |       00:00:52 |       97.16% |              |       0.1171 |              |          0.0020 |
|     102 |         102 |       00:00:52 |       97.16% |              |       0.1177 |              |          0.0020 |
|     103 |         103 |       00:00:53 |       97.30% |              |       0.1116 |              |          0.0020 |
|     104 |         104 |       00:00:53 |       97.87% |              |       0.1057 |              |          0.0020 |
|     105 |         105 |       00:00:54 |       97.30% |              |       0.0978 |              |          0.0020 |
|     106 |         106 |       00:00:54 |       97.73% |              |       0.1009 |              |          0.0020 |
|     107 |         107 |       00:00:55 |       97.73% |              |       0.1005 |              |          0.0020 |
|     108 |         108 |       00:00:55 |       97.16% |              |       0.1038 |              |          0.0020 |
|     109 |         109 |       00:00:56 |       97.73% |              |       0.1005 |              |          0.0020 |
|     110 |         110 |       00:00:56 |       98.30% |       94.89% |       0.0919 |       0.2410 |          0.0020 |
|     111 |         111 |       00:00:57 |       97.44% |              |       0.0959 |              |          0.0020 |
